name                           license type  installed version  link
----                           ------------  -----------------  ----
@jamescoyle/vue-icon           MIT           0.1.2              git+https://github.com/JamesCoyle/vue-icon.git
@mdi/js                        Apache-2.0    7.4.47             git+https://github.com/Templarian/MaterialDesign-JS.git
@microsoft/fetch-event-source  MIT           2.0.1              git+https://github.com/Azure/fetch-event-source.git
@vue-flow/background           MIT           1.3.2              git+https://github.com/bcakmakoglu/vue-flow/packages/plugins/background
@vue-flow/controls             MIT           1.1.3              git+https://github.com/bcakmakoglu/vue-flow/packages/plugins/controls
@vue-flow/core                 MIT           1.48.2             git+https://github.com/bcakmakoglu/vue-flow.git
@vue-flow/minimap              MIT           1.5.4              git+https://github.com/bcakmakoglu/vue-flow/packages/plugins/minimap
axios                          MIT           1.15.0             git+https://github.com/axios/axios.git
axios-retry                    Apache-2.0    4.5.0              git+https://github.com/softonic/axios-retry.git
class-transformer              MIT           0.5.1              git+https://github.com/typestack/class-transformer.git
d3-scale                       ISC           4.0.2              git+https://github.com/d3/d3-scale.git
d3-scale-chromatic             ISC           3.1.0              git+https://github.com/d3/d3-scale-chromatic.git
echarts                        Apache-2.0    6.0.0              git+https://github.com/apache/echarts.git
element-plus                   MIT           2.13.0             git+https://github.com/element-plus/element-plus.git
hotkeys-js                     MIT           4.0.3              git+https://github.com/jaywcjlove/hotkeys-js.git
license-report                 MIT           6.8.2              git+https://github.com/kessler/license-report.git
lodash                         MIT           4.18.1             git+https://github.com/lodash/lodash.git
lodash.debounce                MIT           4.0.8              git+https://github.com/lodash/lodash.git
mitt                           MIT           3.0.1              git+https://github.com/developit/mitt.git
pinia                          MIT           3.0.4              git+https://github.com/vuejs/pinia.git
primeicons                     MIT           7.0.0              git+https://github.com/primefaces/primeicons.git
primevue                       MIT           4.4.1              git+https://github.com/primefaces/primevue.git
radix-vue                      MIT           1.9.17             git+https://github.com/unovue/radix-vue.git
reflect-metadata               Apache-2.0    0.2.2              git+https://github.com/rbuckton/reflect-metadata.git
tailwindcss-primeui            MIT           0.4.0              git+https://github.com/primefaces/tailwindcss-primevue.git
ts-enum-util                   MIT           4.1.0              git+https://github.com/UselessPickles/ts-enum-util.git
uplot                          MIT           1.6.32             git+https://github.com/leeoniya/uPlot.git
uuid                           MIT           13.0.0             git+https://github.com/uuidjs/uuid.git
v-onboarding                   MIT           2.12.2             git+https://github.com/fatihsolhan/v-onboarding.git
vite-plugin-package-version    MIT           1.1.0              git+https://github.com/smnhgn/vite-plugin-package-version.git
vue                            MIT           3.5.31             git+https://github.com/vuejs/core.git
vue-color                      n/a           3.3.3              git+https://github.com/linx4200/vue-color.git
vue-draggable-plus             MIT           0.6.1              git+https://github.com/Alfred-Skyblue/vue-draggable-plus.git
vue-echarts                    MIT           8.0.1              git+https://github.com/ecomfe/vue-echarts.git
vue-fullscreen                 MIT           3.1.3              git+https://github.com/mirari/vue-fullscreen.git
vue-i18n                       MIT           11.3.2             git+https://github.com/intlify/vue-i18n.git
vue-router                     MIT           5.0.4              git+https://github.com/vuejs/router.git
